S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0124	0.00707	0.58824	2.70026	2.0	1.06716	1.02429	1.01827	1.01623	1.0	1.0	1.0	1.0	0.00018	0.00018	0.0	-2.0	0.00018	0.00018	0.00316	0.00088	0.0	-2.0	0.00316	0.00088	0.0	9.18398	9.18398	9.18398	9.18398	0.55764	3.43788	0.0	-2.0	0.55764	3.43788	1.53514	2.02794	-0.29369	-0.45928	1.66642	2.8976	0.9775	-1.40994	-0.29369	1.54072	1.10878	-0.54028	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01187	0.00747	0.58824	1.39798	4.0	1.82647	1.42725	1.32358	1.284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00333	0.00358	0.76225	-1.05452	0.00202	0.00447	0.0	4.55164	4.035	3.8935	3.83843	1.5344	5.4463	-0.00119	-1.99841	1.60762	10.81009	1.52232	3.07757	-0.28854	-0.74027	2.17171	4.98441	-0.01209	-2.36873	-0.28735	1.25814	0.56409	-5.82568	0.2	0.0	-0.8	0.0	-0.4	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.00947	0.00333	0.58824	0.44524	3.0	2.00032	1.95769	1.93288	1.91137	1.0	1.0	1.0	1.0	0.00032	0.00046	0.70711	-1.5	0.0	0.00049	0.00392	0.00493	0.69038	-1.5	0.00088	0.00544	0.0	2.05025	2.03378	2.03203	2.03144	-0.60128	3.8526	0.70669	-1.5	-3.27116	4.1131	0.20812	2.49264	-0.51528	-0.43292	0.46797	3.48614	0.8094	-1.35995	-1.22197	1.06708	3.73913	-0.62695	0.5	0.86603	0.5	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.00907	0.0056	0.58824	-3.20658	2.0	1.00794	1.002	1.0015	1.00133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0007	0.0007	0.0	-2.0	0.0007	0.0007	0.0	31.6386	31.6386	31.6386	31.6386	0.62839	4.73587	0.0	-2.0	0.62839	4.73587	0.89649	3.05802	-0.13818	-1.06432	1.15101	5.08904	0.2681	-1.67784	-0.13818	0.93568	0.52262	0.35317	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.024	0.00867	0.00587	0.58824	1.72022	2.0	1.03198	1.01005	1.00755	1.00671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00482	0.00307	0.0	-2.0	0.00482	0.00307	0.0	14.17762	14.17762	14.17762	14.17762	0.49328	5.56245	0.0	-2.0	0.49328	5.56245	0.63647	2.895	-0.1961	0.04389	1.21594	3.87015	0.1432	-2.66745	-0.1961	2.04389	0.72266	-1.6923	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0116	0.00693	0.58824	0.06463	3.0	1.74768	1.53644	1.44441	1.3971	1.0	1.0	1.0	1.0	0.00012	0.00017	0.70711	-1.5	0.0	0.00018	0.00146	0.00122	0.07189	-1.5	0.0014	0.00149	0.0	2.48677	2.44606	2.44075	2.43895	-0.30401	4.44715	0.70448	-1.5	-3.29094	4.79317	1.24141	2.47258	-0.72296	0.47348	1.62976	2.54569	1.54542	-1.97457	-1.42745	1.97348	4.92069	-2.24747	0.5	0.0	-0.5	0.86603	0.5	0.86603	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01013	0.00347	0.58824	-4.45425	8.0	4.50433	3.91172	3.5701	3.3473	2.79076	2.62979	2.51169	2.42575	0.00024	0.00034	1.03446	-0.47178	0.0	0.00042	0.0016	0.00097	0.09071	-1.28394	0.00158	0.00175	0.0	4.80015	4.30024	4.03859	3.87614	-1.62227	2.05268	-0.28122	-1.41654	-1.45983	3.46029	-0.79987	2.12431	0.45469	0.09326	-0.95507	2.83852	0.8224	0.07163	0.73591	1.50979	0.50475	-0.62177	-0.22892	0.63114	0.63474	-0.01372	-0.64672	0.30005	5.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0092	0.006	0.58824	-7.23496	7.0	3.69543	2.91916	2.55995	2.36941	1.84202	1.72414	1.64399	1.59123	0.00017	0.00029	1.4852	0.62816	0.0	0.00018	0.00291	0.00508	1.98201	2.03997	0.00105	0.00096	0.0	4.73697	4.1327	3.85765	3.70456	-0.32459	5.9566	-0.29537	-1.83557	4.04565	11.19108	-1.74239	4.27265	0.07657	-1.17376	-1.66724	7.44246	-1.4178	-1.68395	0.37194	0.6618	-5.71289	-3.74862	0.2364	-0.22272	0.10714	0.1134	0.32733	0.57907	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0104	0.0048	0.58824	2.46869	2.0	1.06716	1.02429	1.01827	1.01623	1.0	1.0	1.0	1.0	0.00041	0.00041	0.0	-2.0	0.00041	0.00041	0.00237	0.00061	-0.0	-2.0	0.00237	0.00061	0.0	9.18398	9.18398	9.18398	9.18398	1.99429	3.88345	0.0	-2.0	1.99429	3.88345	2.24856	2.99668	-0.2434	-1.18497	2.84972	5.39263	0.25428	-0.88676	-0.2434	0.81503	0.85543	1.50918	1.0	-1.0	1.0	-1.0	1.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.455	0.00867	0.00493	0.58824	-2.56759	5.0	2.9409	2.45886	2.24892	2.13595	1.0	1.0	1.0	1.0	7e-05	0.00014	1.5	0.25	0.0	0.0	0.00705	0.01325	1.49032	0.23653	0.0	0.00175	0.0	3.36942	2.91194	2.73047	2.64679	-1.71704	2.96603	-0.33896	-1.77672	0.23504	5.4319	-2.21076	1.98063	-0.18374	-0.18817	-2.08258	2.60855	-0.49372	-0.9854	0.15522	1.58856	-2.31763	-2.82335	0.67082	0.70711	0.1	0.79057	-0.33541	-0.35355	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01147	0.0048	0.58824	-0.04682	3.0	1.47464	1.28781	1.22618	1.20018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00094	0.00072	-0.23906	-1.5	0.00105	0.00088	0.0	3.018	3.00695	3.00596	3.00563	0.47955	4.30599	-0.7062	-1.5	3.43482	4.61108	-0.48039	2.34725	-0.44538	-0.31722	-0.17691	3.12145	-0.95994	-1.95874	0.26082	1.18278	-3.61172	-1.48963	0.5	0.0	-0.5	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0112	0.00507	0.58824	-2.17494	6.0	3.02266	2.59321	2.46067	2.4039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00105	0.00138	1.54877	0.75664	0.00053	0.00075	0.0	2.9674	2.59135	2.46846	2.41579	-1.38129	4.35451	-0.00374	-1.9812	-1.40568	8.4048	-0.22917	3.15201	0.18966	-0.43658	-0.32277	4.49996	1.15212	-1.2025	0.1934	1.54462	1.08291	-3.90485	0.55078	0.0	0.37685	0.0	0.71429	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01013	0.00493	0.58824	4.68059	2.0	1.31503	1.168	1.1292	1.11434	1.0	1.0	1.0	1.0	0.00031	0.00031	0.0	-2.0	0.00031	0.00031	0.00307	0.00079	0.0	-2.0	0.00307	0.00079	0.0	3.72896	3.72896	3.72896	3.72896	-0.95736	4.55891	0.0	-2.0	-0.95736	4.55891	0.18968	2.63717	-0.76994	0.17855	0.45171	3.37662	1.14704	-1.92173	-0.76994	2.17855	1.40907	-1.18229	1.0	-1.0	0.0	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01067	0.0068	0.58824	-0.8077	2.0	1.45473	1.27754	1.21795	1.1929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00465	0.00377	0.0	-2.0	0.00465	0.00377	0.0	3.03415	3.03415	3.03415	3.03415	1.10345	3.59466	0.0	-2.0	1.10345	3.59466	-0.64331	2.06846	0.56354	0.41814	-1.03677	2.28286	-1.74675	-1.5262	0.56354	2.41814	-2.14022	-1.3118	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.427	0.0096	0.00493	0.58824	-7.50089	5.0	3.05585	2.41537	2.14909	2.01485	1.0	1.0	1.0	1.0	0.00021	0.00042	1.5	0.25	0.0	0.0	0.00319	0.00425	1.40691	0.1299	0.00123	0.00105	0.0	6.31869	4.96524	4.29398	3.93486	-1.47015	4.94468	-0.23432	-1.7016	1.17894	8.74322	-1.44419	3.41666	-0.37897	0.12553	-1.27732	4.00797	0.02596	-1.52802	-0.14465	1.82713	-2.45626	-4.73525	0.1	0.70711	-0.7	0.70711	-0.4	-0.70711	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.0108	0.0032	0.58824	0.74822	2.0	1.02642	1.00803	1.00603	1.00536	1.0	1.0	1.0	1.0	0.00018	0.00018	0.0	-2.0	0.00018	0.00018	0.00193	0.00175	0.0	-2.0	0.00193	0.00175	0.0	15.84311	15.84311	15.84311	15.84311	-0.67017	3.67527	0.0	-2.0	-0.67017	3.67527	0.06183	1.76012	-0.17403	0.22373	0.02838	1.77483	0.732	-1.91515	-0.17403	2.22373	0.69855	-1.90044	1.0	-1.0	0.0	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.086	0.0092	0.00587	0.58824	-8.19024	4.0	1.37086	1.15957	1.12031	1.10635	1.0	1.0	1.0	1.0	9e-05	0.00015	1.1547	-0.66667	0.0	9e-05	0.00325	0.00426	1.06338	-0.74382	0.00123	0.00368	0.0	7.66632	6.24651	5.59933	5.26574	0.20867	7.12161	0.07352	-1.90213	-0.54668	13.23137	0.08111	4.91421	0.26619	-0.84394	-0.26385	6.86983	-0.12757	-2.20739	0.19268	1.05818	0.28283	-6.36154	0.8	0.7746	-0.2	0.7746	-0.4	-0.7746	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	15	competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	1.0	0.01027	0.0044	0.58824	1.35569	3.0	2.94732	2.90003	2.85843	2.82234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.00655	0.00815	0.7049	-1.5	0.00105	0.00877	0.0	3.2493	3.24414	3.23888	3.23348	-0.75895	4.9287	0.707	-1.5	-4.20907	5.24505	0.29619	2.94276	0.02253	-0.67875	0.15612	4.50649	1.05514	-1.98594	-0.68447	0.82125	4.3652	-0.73857	-0.5	0.0	-0.5	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
