238.1823	NA	NA
3.849714	NA	NA
t191	7.77113314839799	6
t337	24.1625129789771	49
t119	53.3696471718556	43
t475	-18.6117343926496	74
t233	35.3964634035166	2
t278	-13.8897660187355	12
t418	36.0816540221153	42
t254	28.2574518746233	24
t301	30.628736040072	2
t356	34.5492176523551	1
t457	-9.37725067669491	13
t289	25.8808822267182	3
t95	-63.664560262039	3
t108	74.7358649545105	1
t91	84.5985928913962	16
t62	-12.1599586507836	1
t352	5.11877434675288	26
t489	22.241414802632	6
t87	29.8964402205552	4
t245	5.52768795455109	63
t61	30.9340328128776	5
t129	51.3659532761345	8
t493	-42.1859399035626	17
t308	10.2183449838686	1
t292	64.8104363923376	3
t362	-42.7907470612495	96
t188	9.1272815612299	9
t522	-46.7834599847853	29
t84	-1.94623976359584	95
t27	-20.4717896387719	1
t112	10.7282051360671	37
t487	92.6599202494777	25
t526	51.3736285527222	1
t178	-27.4241686354491	7
t314	42.4337975184	5
t287	38.4662841973599	38
t174	-21.7552526633534	32
t64	84.3334121506594	26
t192	15.8755121780347	1
t344	11.7970549130626	15
t395	0.811790541572919	1
t138	44.3111407547193	5
t273	-20.5826913813602	7
t531	64.3241315452921	1
t21	34.4352492954236	17
t408	-15.6042176347944	9
t512	47.4015472624234	113
t428	-28.677940028197	2
t285	69.8735885113114	7
t80	46.6207488410298	24
t187	4.0331210996478	1
t275	69.6911987199645	3
t110	-42.795051897772	1
t435	48.5430120440532	5
t328	41.0293461399493	47
t410	-23.0194576031149	1
t19	25.7575698770791	3
t523	3.96058774042913	4
t271	39.5024657821945	7
t342	-6.10174457934609	12
t431	-7.688820793394	4
t18	19.0810045298727	16
t201	18.5295655097955	52
t491	-26.4361575567003	62
t433	-14.7897707120103	1
t6	50.9450836862878	21
t82	-19.3070143549783	5
t516	-1.16408903637417	1
t175	-13.3656916773456	52
t284	10.6309201047748	3
t331	-34.6680248888485	17
t186	31.1451300204825	3
t416	-10.1062276005233	1
t182	3.70548152795066	3
t372	31.3173536281283	27
t90	27.1542983982482	11
t465	4.80726712149825	68
t211	-15.1024665666178	2
t219	-39.7651413814824	1
t15	4.34731990363451	21
t13	-23.102549441063	109
t330	-56.1184180432743	19
t321	-58.8994653908182	1
t290	-15.8304982135637	1
t123	30.5158187988015	2
t505	61.8165301893189	1
t106	-22.1965833043278	29
t97	64.7071686309838	4
t103	35.4920085185979	140
t413	65.9629130992533	107
t459	34.202216383391	11
