S_m	J_m	speciation_rate	death_proportion	trait_rate_meta	ecological_strength	generations	community_assembly_model	speciation_model	mutation_rate	alpha	sequence_length	J	m	speciation_prob	generation	_lambda	migrate_calculated	extrate_calculated	trait_rate_local	filtering_optimum	S	abund_h1	abund_h2	abund_h3	abund_h4	pi_h1	pi_h2	pi_h3	pi_h4	mean_pi	std_pi	skewness_pi	kurtosis_pi	median_pi	iqr_pi	mean_dxys	std_dxys	skewness_dxys	kurtosis_dxys	median_dxys	iqr_dxys	trees	trait_h1	trait_h2	trait_h3	trait_h4	mean_local_traits	std_local_traits	skewness_local_traits	kurtosis_local_traits	median_local_traits	iqr_local_traits	mean_regional_traits	std_regional_traits	skewness_regional_traits	kurtosis_regional_traits	median_regional_traits	iqr_regional_traits	reg_loc_mean_trait_dif	reg_loc_std_trait_dif	reg_loc_skewness_trait_dif	reg_loc_kurtosis_trait_dif	reg_loc_median_trait_dif	reg_loc_iqr_trait_dif	abundance_dxy_cor	abundance_pi_cor	abundance_trait_cor	dxy_pi_cor	dxy_trait_cor	pi_trait_cor	SGD_0	SGD_1	SGD_2	SGD_3	SGD_4	SGD_5	SGD_6	SGD_7	SGD_8	SGD_9
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	161.0	0.99	0.01017	0.00184	0.58824	-0.73121	21.0	13.7371	11.52047	10.4288	9.76729	10.25556	8.44159	7.31966	6.62222	0.0009	0.0011	1.52548	1.92103	0.0007	0.00133	0.00419	0.00522	3.47029	11.94067	0.00281	0.00263	0.0	12.78576	10.93887	10.02128	9.46316	0.18944	3.4104	-0.89894	0.24907	0.33117	4.56648	-0.0054	2.41968	-0.55158	0.92518	0.40536	2.62032	-0.19484	-0.99071	0.34736	0.67612	0.07419	-1.94616	0.55397	0.58982	0.39558	0.55808	0.08255	0.44255	10.0	3.0	2.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	15.0	0.676	0.0096	0.00107	0.58824	-3.07394	15.0	5.92042	4.60498	4.12303	3.86906	1.0	1.0	1.0	1.0	8e-05	0.00029	3.4744	10.07143	0.0	0.0	0.00398	0.00729	2.54009	5.4302	0.0014	0.00289	0.0	5.72612	4.59332	4.1981	3.99899	-0.49038	2.39076	-0.69139	-0.91164	0.25572	3.26066	-0.28005	2.72788	-0.09292	-0.49559	0.30933	4.12538	0.21033	0.33711	0.59846	0.41604	0.05361	0.86471	-0.02914	0.3752	-0.14261	0.0	-0.12253	0.37115	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	8.0	0.428	0.01125	0.00025	0.58824	1.23441	17.0	4.06738	2.58853	2.22153	2.06528	1.7967	1.65753	1.57143	1.51904	8e-05	0.00023	3.13427	8.57902	0.0	0.0	0.00239	0.00313	2.22932	4.91416	0.00175	0.00211	0.0	5.59879	3.83652	3.40846	3.23705	0.23679	3.36813	-0.05566	-0.22818	-0.3738	3.81618	0.73121	2.96319	0.13376	-0.03505	0.66876	3.34165	0.49442	-0.40494	0.18942	0.19313	1.04256	-0.47453	0.18137	0.41724	-0.30874	0.14046	0.04794	-0.08752	15.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	53.0	0.841	0.01011	0.00132	0.58824	0.93135	19.0	11.83057	9.85649	8.88243	8.27368	7.2309	6.28866	5.78507	5.48616	0.00054	0.00077	1.29545	0.30907	0.0	0.00082	0.00638	0.01195	3.26936	10.01938	0.00211	0.00482	0.0	11.13432	9.60334	8.86418	8.39606	0.70635	1.45546	-0.1937	-1.04927	0.84205	2.35683	0.69756	1.76352	0.40589	-0.06939	0.69419	2.29685	-0.00878	0.30806	0.59959	0.97988	-0.14786	-0.05999	0.31678	0.00952	0.10536	0.32504	-0.223	-0.18449	10.0	3.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	12.0	0.733	0.00967	0.00033	0.58824	1.81647	16.0	10.0721	7.46258	6.08753	5.33817	1.0	1.0	1.0	1.0	4e-05	0.00015	3.61478	11.06667	0.0	0.0	0.00363	0.00431	1.49468	1.00334	0.00219	0.00316	0.0	9.74149	7.92574	7.08149	6.6234	2.12281	2.04342	-0.24014	-0.98667	2.50158	2.70343	2.22538	2.06597	-0.39905	-0.39169	2.36177	2.3902	0.10257	0.02255	-0.1589	0.59497	-0.13981	-0.31323	0.67602	0.25224	0.38705	0.08427	0.12979	0.02801	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	10.0	0.396	0.0092	0.0002	0.58824	5.36098	14.0	3.78323	2.38981	2.05176	1.91434	2.90747	2.83474	2.77951	2.73824	0.00011	0.00023	1.60597	0.79046	0.0	0.0	0.00315	0.00335	1.22164	0.31658	0.00167	0.0032	0.0	4.94272	3.73595	3.37625	3.22631	0.92415	2.2273	-0.20195	-0.87355	1.07566	3.13049	0.64407	2.22689	-0.51314	0.51174	0.71105	2.90433	-0.28009	-0.00042	-0.31119	1.38529	-0.36461	-0.22617	0.56733	0.49812	0.02867	0.53384	0.55226	0.32179	11.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	8.0	0.244	0.011	0.0005	0.58824	2.63262	13.0	2.62042	1.67	1.49032	1.42672	1.99409	1.98824	1.98248	1.97685	0.00012	0.00028	1.94754	1.84491	0.0	0.0	0.00368	0.00548	2.46567	5.13995	0.0014	0.00298	0.0	5.81754	4.93488	4.66643	4.52987	1.42273	2.96285	0.63287	-0.60549	0.37213	3.50867	2.6981	3.2772	0.126	-1.25694	2.24148	5.9028	1.27537	0.31434	-0.50688	-0.65145	1.86935	2.39414	0.38451	-0.0527	0.3536	-0.14871	0.49244	-0.05241	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	0.675	0.00873	0.0	0.58824	-0.34535	14.0	6.91975	5.21997	4.50297	4.11242	3.88368	3.79607	3.73111	3.68271	0.00016	0.00027	1.138	-0.54337	0.0	0.00026	0.00396	0.00476	0.95686	-0.61696	0.00114	0.00702	0.0	6.9414	5.48031	4.94925	4.69301	0.39183	2.60865	0.11605	-0.61613	0.75436	3.06105	1.18116	2.60303	-0.40416	-0.31621	1.2829	3.14498	0.78933	-0.00562	-0.52021	0.29992	0.52855	0.08393	0.71555	0.62323	0.2511	0.23742	0.13421	0.28956	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	11.0	0.487	0.008	0.00109	0.58824	2.38493	14.0	3.7382	2.68265	2.42545	2.30717	2.88169	2.76555	2.66021	2.57074	9e-05	0.00019	1.77216	1.73284	0.0	0.0	0.004	0.00401	0.6765	-1.10882	0.00219	0.00693	0.0	4.38131	3.10603	2.80713	2.6942	3.13414	1.95027	-0.14989	-0.87412	3.4858	2.84606	2.99331	2.02977	0.96536	1.39103	2.69255	2.76368	-0.14083	0.0795	1.11525	2.26515	-0.79325	-0.08237	0.47745	0.47248	0.0352	0.17775	0.31868	0.13791	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
100	750000	2.0	0.7	2.0	1.0	0.0	pairwise_competition	point_mutation	0.0	2000	570.0	1000.0	0.01	0.0	12.0	0.576	0.01017	0.0005	0.58824	-0.1293	14.0	6.17265	4.21738	3.41858	3.05222	2.0	2.0	2.0	2.0	5e-05	0.00012	2.04124	2.16667	0.0	0.0	0.00376	0.00554	2.10086	3.91308	0.00132	0.0057	0.0	7.52386	6.03533	5.38489	5.02049	-1.22599	2.5689	0.32907	-0.55934	-1.40046	3.19776	-0.79325	2.80735	0.17728	-0.878	-0.76335	4.04661	0.43274	0.23846	-0.15179	-0.31866	0.6371	0.84885	0.50885	0.35485	0.10341	0.20367	0.01547	0.4051	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
