"","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp","temp"
"achatellinus",0.115761122737856,0.0239385900137537,0.00910649619634338,-0.0250595775445906,0.0387036694896787,-0.0415256173798413,-0.00615919086294647,0.0114985682238949,-0.00174263556041802,-0.0141702962939459,-0.00741293589002403,-0.0189240306012052,0.001681566526721,-0.0072451115462233,-0.00164922295396851,-0.00137569832882231,0.00147897451967476,-0.000163550683410891,0.00377662197537161,1.90661847620184e-05,0.00287679803727611,-0.000175642569022463,0.00298961875766078,-0.000992801077302768
"adelphus",-0.113088711605927,-0.011358660241446,0.0386483425100667,-0.00999730060917631,-0.00830865455285874,0.0176017857745043,0.00662703563868618,-0.00358593013047554,0.00545180902849625,-0.00580498908126005,0.0047601338933814,0.00359366646364438,0.00553180882383163,-0.000401347884232091,0.00173378457455322,-0.00256815819169102,-0.000521485633582407,0.00297016964946752,-0.00141536851474615,-0.00108164539677692,0.000217544121989485,-0.00209652069405266,0.00050694802706723,-0.000206475254942555
"akamatus",-0.0492762206578786,0.01406547402351,-0.00815837419652958,-0.0290673732048068,0.000221079545802986,0.0074562950095159,0.00296396409334204,0.000944449314806006,0.00323633816011299,-0.0061330091065953,0.000903637489208959,0.000687188392793164,-0.00238204577590489,0.00094124668459209,-0.000325425177368997,0.000809194166455872,0.000224436863542988,0.00163288373027101,-0.000630596243719999,0.00121601454103321,-0.00220075757666708,0.000308938756799603,0.000170645331322137,0.000222197275321927
"albermarlensis",-0.0895025542445707,0.00545280025162721,0.0283410246923201,0.00687800922405838,0.0186151373394594,0.016322985194754,-0.00192227822724345,0.00718052942222591,-0.00882663316958676,-0.000311649867401545,0.00739073826004256,0.00182410781382795,-0.000513674974913884,0.00028097655508158,0.00202504491018022,-0.00326109262509292,1.13167704819084e-05,0.000198655848954768,-0.000635116686893414,-0.000374691419471343,0.000224813374942296,-0.000371008429990936,3.94502375068777e-05,0.000315181100344618
"albermarlensis CA",-0.0822797330822764,0.00768562725465798,0.0106149449449142,0.00953749162783277,-0.00171469176792432,0.00220026382418629,-0.0119648812990083,0.00667727470876677,-0.00269244284890076,-0.00205160806418762,-0.000849696104085887,0.00193610623520492,-0.00133239070556596,0.000658804382147184,-0.000263393098093169,-0.000427531403148494,-0.000109617830612016,0.000407467564833617,-0.000130916402069138,-0.000849422812958513,-4.63456509847104e-05,0.00032850532799119,0.000191151849103249,0.000131609040997274
"alethorhytidus",-0.0928275424554283,0.0230118747874018,0.0213346144116817,-0.00317204458104457,-0.0120026987440572,-0.0154560706986308,0.009289798579859,0.00127942922404284,0.00840854004745386,0.00239102004154793,0.00470577773299042,0.00443605842212197,0.000758847947053337,0.000121306455614996,0.00171000853335125,0.000992216625256582,-0.000189131248821984,-0.000520715509667076,0.000769644379664051,0.000722122427607113,-1.05272439237974e-05,0.00027908790080703,0.000184401306979107,-4.18579244484729e-05
"amastroides",0.0265967266031277,0.0338884480047901,-0.0173104349799147,0.014553023987495,0.0153913150725212,0.00545606037315744,0.00336469035915302,-0.00691252820029962,0.00160553225560558,0.00327703902933736,-0.0114863780482553,0.00281891841461033,0.000113468216138901,0.000716506465515911,-0.000359675331678355,0.00200370652115845,-0.00122398434884712,3.97052950915937e-05,0.000654854187935546,-0.00122582187702698,-0.000372769083753969,0.00043778863053263,0.000295899806978356,-0.000234635155323043
"amastroides_eljunco",0.0229212998295524,0.0645906337613339,-0.0271725066764417,0.0411942153433742,0.0139046396545689,0.00369949099077544,0.00572816749955021,-0.00113202771174612,0.00176093534797343,0.00561419570270956,-0.003742093048276,0.00586947964869366,0.00271063247300611,0.000312146521281191,-0.000228033676462674,0.00241861369320717,0.00288615700094923,0.00253485322036563,0.000737144915528042,-0.000391565620250028,0.00101645427698469,0.000168093386485733,2.40136991148624e-06,4.5146749386238e-05
"approximatus",-0.00268106029025704,-0.0229105990148328,0.00850059069347478,0.00611075138797663,0.013584723533513,0.00158369787562365,0.00443403018804583,-0.00887962817877956,0.00247215936067742,0.00541276304944637,-0.000675763016756709,-0.00498982046194091,0.00368714777240878,0.0017521206020471,-0.00116307558836364,-0.00100281215048231,-0.000377143142771117,-0.00016353761790525,0.00121114197418532,-0.000342352100483627,0.000138136804109117,0.000298838306788358,1.24639418267717e-06,0.00032484748498961
"basiplicatus",0.0169168913632684,0.0330856822668546,0.00034501182570762,-0.00798884527545921,0.0439448012380089,-0.00508996146597727,0.0130924749461889,-0.00246592680491018,-0.0118682710786794,-0.00362987638063158,-0.0010160621895087,-0.00354830531797925,0.00771716388182765,-0.000743470969541123,0.0011808897704584,0.00136877450690018,0.000723209880944081,-0.000199574167656756,-0.000743992707373937,0.000193130915854742,0.000531483395176714,-0.00276581280457918,6.49485404264495e-05,0.000175091053549574
"bauri ",0.00967152079498965,0.0636783576090654,0.000506203982135862,0.00389785568791996,0.0120240151003324,0.0151935948616219,0.017422148121336,-0.00909258889951375,-0.000875811133140106,0.0035229424290339,-0.00514664212050359,-0.00325589428529474,0.000751549739577037,0.00184196649437229,-0.00193875277107838,0.00452664763341435,0.000345385846371743,0.00203115104784705,4.05603265034737e-05,-0.00258448919993744,0.000881227808587267,0.000924153363518404,-0.000240347509427165,5.18158647096969e-05
"blombergi",-0.0272204632656127,-0.0456981134559858,0.0315173076967872,-0.0127385014275585,-0.0111492397630882,0.00220555285242843,0.0183764133247495,-0.0107740056908779,-0.0136862941792731,-0.00244354443850234,-0.00176097241345125,0.00344890259046727,-0.00305862228916067,-0.00120856813844672,-0.00255528045225819,0.000637320376103861,0.000900435775686174,9.29657401884029e-05,0.00207257835814406,-0.00202321492559598,0.00156570162763499,-0.000680361722086729,0.00141004081884349,-0.000652877862768054
"blunt_sculpturatus",0.0101119392769327,0.0122647929740443,0.00180850110730356,0.0073462145137822,-0.00309228467757618,-0.019051406862355,0.000593917614691238,-0.00539019099810219,-0.00193751644301031,-0.00371386202091786,7.62198095777797e-05,0.000423393355995933,0.00295806257541991,-0.000776934112717592,0.000294861759514625,0.00233004479510789,0.00133595256141642,-0.000146797599747951,-0.00041304774055164,0.000389252157200871,0.00085973652326677,0.000254770611815116,-0.000506110587351524,2.8189041768026e-05
"calvus",0.00593305860395624,0.0058812293477698,-0.00356914596569872,0.00523091792652831,0.00678184999236088,-0.00837052887845552,0.00575772229456042,-0.000404935239787234,-0.00274260859127592,0.00198208879211366,-0.000158635109392433,-0.00436649761283601,0.000967826377745048,0.000349508554144279,0.00124681660631866,0.000431636409065221,-0.000334272405194145,-0.00118832312137551,-0.00101045263183655,0.000604913334202662,-0.000226803646979312,0.000256457382983968,1.81398713926752e-05,-9.07323570151993e-05
"canaliferus",0.109144279199088,0.0718886470472838,-0.0316389432574957,0.0345927091538123,0.0122715041272816,0.0445581846832605,0.00250807216720278,-0.00441926568317031,0.0126232845078889,0.00502658404687632,0.00240717702479662,0.00366480432776689,-0.0017344088736631,-0.00684758492919369,-0.00116994450086435,0.00198781049858526,0.00259238189527736,0.000239481671795532,0.00193677616748121,-0.000630464171173674,0.000732672304979637,-0.000552039008299501,0.000571931876593142,-0.000423915242332062
"cavagnaroi",-0.101428529119316,-0.00400604011317036,0.0190384806614859,0.0192897179222871,-0.00471549880803905,-0.00757535744336848,0.000437403258345257,0.00436043746373606,0.0126704078977448,0.005666860230453,0.00191746810543939,0.000342778564944386,-0.00184255063065906,0.000119995292431307,0.00180401036308187,-0.000416669720122922,-0.00128839643910381,-0.00209322342483146,-0.00171173587684836,0.00101088139735446,-0.000297507490241421,0.000227246397443239,-0.00026694210974063,4.44445552391328e-05
"cf. cucullinus FL",0.0162369905285002,-0.025595961064479,-0.018493947415866,0.00837312895967852,0.00759576499185877,-0.00144897857121767,0.00405885559636493,-0.0010561761702288,0.000549659082175584,-0.000405385936596961,-0.00637470316800755,-0.000273047741906701,0.00143903912337482,0.00217909782036807,-3.09095761546135e-05,-0.00143802913718942,0.00167801477642545,-0.00069533878725595,-5.20975361021926e-05,-0.00085864436028551,0.000204005814021351,0.000260674429712634,0.000629004201721532,-7.38716909033859e-05
